IATA,ICAO,Name,Country,City,Security level
PAM,KPAM,Tyndall Air Force Base,United States,,International
HAV,MUHA,Jose Marti Internationa,Cuba,,International
PAZ,MMPA,Poza Rica,,,
ELP,KELP,El Paso International Airport,United States,Texas,International
BFM,KBFM,Mobile International Airpor,United States,,International
HRL,KHRL,Valley International Airport,United States,HARLINGEN,International
BFI,KBFI,"Boeing Field, King County",United States,SEATTLE,International
REX,MMRX,General Lucio Blanco,Mexico,REYNOSA,Domestic
MLM,MMMM,General Francisco J. Mujica International Airport,Mexico,MORELIA,Domestic
CHS,KCHS,Charlestone International Airport,,,
JFK,KJFK,John F. Kennerdy International,United States,NEW YORK,International
PBC,MMPB,Hermanos Serdán International Airport,Mexico,PUEBLA,Domestic
GPT,KGPT,Gulfport-Biloxi Internacional Airport,United States,HARRISON,International
KHV,UHHH,khabarovsk Novy Airport,Russian Federation,KHABAROVSK,International
ADW,KADW,Joint Base Andrews Airport,United States,CAMP SPRINGS,International
BWI,KBWI,Thurgood Marshall Airport,United States,Washington-Baltimore Int Apt,International
AUS,KAUS,Austin-Bergstrom Int&#39;l,United States,AUSTIN,International
CYW,MMCY,Aeropuerto de Celaya,Mexico,CELAYA,Domestic
SHV,KSHV,Shreveport Regional Airport,United States,Louisiana,International
PBM,SMJP,Aeropuerto Internacional Adolf Pengel,Suriname,PARAMARIBO,
BGI,TBPB,Grantley Adams International Airport,New Zealand,CHRISTCHURCH,
SID,GVAC,Amilcar Cabral International,Cape Verde,SAL ISLAND,International
PCA,PAOC,Portage Creek Airport,United States,PORTAGE CREEK,International
YUL,CYUL,Montreal Trudeau International,Canada,MONTREAL,International
KIN,MKJP,Norman Manley,Jamaica,KINGSTON,
HSV,KHSV,Huntsville International Airport,United States,HUNTSVILLE,International
CZM,MMCZ,Cozumel International,Mexico,COZUMEL,Domestic
OAK,KOAK,Oakland International,United States,OAKLAND,International
AEX,KAEX,Alexandria International Airport,United States,Louisiana,International
YQX,CYQX,Gander International,Canada,GANDER,International
CVM,MMCV,General Pedro J.Mendez,Mexico,CIUDAD VICTORIA,Domestic
UIO,SEQM,Mariscal Sucre International,Ecuador,QUITO,International
NLD,MMNL,Quetzalcoatl International,Mexico,NUEVO LAREDO,Domestic
FLL,KFLL,International Airport Fort Lauderdale,United States,,International
TGZ,MMTG,Aeropuerto Internacional Angel Albino Corzo,Mexico,TUXTLA GUTIERREZ,Domestic
MZT,MMMZ,General Rafael Buelna,Mexico,MAZATLAN,Domestic
ZCL,MMZC,General Leobardo C.Ruiz Int&#39;l,Mexico,ZACATECAS,Domestic
QRO,MMQT,Querétaro International,Mexico,QUERETARO,Domestic
CWB,SBCT,Afonso Pena International Airport,Brazil,CURITIBA,International
BUD,LHBP,Budapest Int. Airport,Hungary,BUDAPEST,
LHR,EGLL,Heathrow Airport,United Kingdom,LONDON,International
