Name,IATA code,UN code,Time zone,Latitude,Longitude,Country
MINNA,MXJ,MXJ,Africa/Lagos,9.61667,6.53333,Nigeria
MATI,MXI,MXI,Europe/Tirane,41.65,19.56667,Philippines
MORO,MXH,MXH,Pacific/Port_Moresby,-6.3,144.15,Papua New Guinea
MAKASSAR,UPG,UPG,TimeZoneNotFound,-5.06667,119.55,Indonesia
MARLBOROUGH,MXG,MXG,America/New_York,42.33333,-71.55,United States
MAXTON,MXE,MXE,America/New_York,34.73333,-79.35,United States
MARION DOWNS,MXD,MXD,Australia/Brisbane,-23.5,139.6667,Australia
MONTICELLO,MXC,MXC,America/Denver,37.86667,-109.35,United States
MASAMBA,MXB,MXB,TimeZoneNotFound,-2.53333,120.3333,Indonesia
MANILA,MXA,MXA,America/Denver,40.98333,-109.7167,United States
MARQUETTE,MQT,MQT,America/New_York,46.53333,-87.56667,United States
MUSTIQUE,MQS,MQS,America/St_Vincent,13.13333,-61.2,Saint Vincent and the Grenadines
MOSQUERA,MQR,MQR,America/Bogota,2.66667,-78.33333,Colombia
MOUNDOU,MQQ,MQQ,Africa/Ndjamena,8.63333,16.06667,Chad
MO I RANA,MQN,MQN,Europe/Oslo,66.31667,14,Norway
MARDIN,MQM,,Europe/Istanbul,40.62306,37.21528,Turkey
MILDURA,MQL,MQL,Australia/Hobart,-34.23333,142.0833,Australia
SAN MATIAS,MQK,MQK,America/La_Paz,-16.33444,-58.38556,"Bolivia, Plurinational State of"
Merkez Apt/Balikesir,MQJ,MQJ,TimeZoneUnrecognized,,,Turkey
QUINCY,MQI,MQI,America/New_York,42.25,-71,United States
MINACU,MQH,MQH,America/Sao_Paulo,-13.53333,-48.23333,Brazil
MIDGARD,MQG,MQG,Africa/Windhoek,-22.08333,17.36667,Namibia
MAGNITOGORSK,MQF,MQF,Asia/Yekaterinburg,53.45,59.06667,Russian Federation
MARQUA,MQE,MQE,Australia/Darwin,-22.81667,137.35,Australia
MAQUINCHAO,MQD,MQD,America/Cordoba,-41.25,-68.73333,Argentina
MIQUELON,MQC,MQC,America/Miquelon,47.13333,-56.38333,Saint Pierre and Miquelon
Barssel,,DBS,Europe/Berlin,53.1,7.45,Germany
OKSIBIL,OKL,OKL,Asia/Jayapura,-3.68333,137.4833,Indonesia
MACOMB,MQB,MQB,America/Chicago,40.45,-90.61667,United States
MANDORA STATION,MQA,MQA,Australia/Perth,-19.83333,120.8333,Australia
MT PLEASANT,MPZ,MPZ,America/Chicago,40.96667,-91.55,United States
MARIPASOULA,MPY,MPY,America/Cayenne,3.71667,-54.06667,French Guiana
MIYANMIN,MPX,MPX,Pacific/Port_Moresby,-4.9,141.6167,Papua New Guinea
MARIUPOL,MPW,MPW,Europe/Kiev,47.1,37.55,Ukraine
MONTPELIER,MPV,MPV,America/New_York,44.2,-72.56667,United States
MABUA,MPU,MPU,America/Panama,-2.91667,151.4167,Papua New Guinea
MALIANA,MPT,MPT,Asia/Makassar,-8.16667,125,Timor-Leste
MAURITIUS,MRU,MRU,Indian/Mauritius,-20.43333,57.66667,Mauritius
MOROAK,MRT,MRT,Australia/Darwin,-14.81667,133.7,Australia
Madison,,MS4,America/New_York,38.23,-78.15,United States
Ceske Budejovice,,CKB,Europe/Prague,48.59,14.28,Czech Republic
MARSEILLE,MRS,MRS,Europe/Paris,43.43667,5.215,France
MACARA,MRR,MRR,America/Guayaquil,-4.38333,-79.93333,Ecuador
MARINDUQUE ISLAND,MRQ,MRQ,Asia/Manila,13.35,121.8167,Philippines
MARLA,MRP,MRP,Australia/Adelaide,-27.03333,133.1167,Australia
MASTERTON,MRO,MRO,Pacific/Auckland,-40.96667,175.6333,New Zealand
MORGANTON,MRN,MRN,America/New_York,35.75,-81.71667,United States
MANARI,MRM,MRM,Pacific/Port_Moresby,-9.2,147.6,Papua New Guinea
MINERS LAKE,MRL,MRL,Australia/Brisbane,-20.06667,145.5833,Australia
MARCO ISLAND,MRK,MRK,America/New_York,25.93333,-81.71667,United States
URIMAN,URM,URM,America/Caracas,5.33333,-62.75,"Venezuela, Bolivarian Republic of"
MARCALA,MRJ,MRJ,America/Tegucigalpa,14.13333,-88.03333,Honduras
MAY RIVER,MRH,MRH,Pacific/Port_Moresby,-9.5,147.1167,Papua New Guinea
Gunzenhausen,,GUH,Europe/Berlin,,,Germany
MAREEBA,MRG,MRG,Australia/Brisbane,-17,145.4333,Australia
MARFA,MRF,MRF,America/Chicago,30.23333,-103.8667,United States
MASAI MARA,MRE,MRE,Africa/Nairobi,-1.18333,35.1,Kenya
MERIDA,MRD,MRD,America/Caracas,8.58333,-71.16667,"Venezuela, Bolivarian Republic of"
COLUMBIA,MRC,MRC,America/Chicago,35.61667,-87.03333,United States
MARTINSBURG,MRB,MRB,America/New_York,39.46667,-77.98333,United States
MISURATA,MRA,MRA,Africa/Tripoli,32.33333,15.06667,Libya
MARGARET RIVER,MQZ,,Australia/Perth,-18.61667,126.8833,Australia
SMYRNA,MQY,MQY,America/Chicago,35.98333,-86.51667,United States
MEKELE,MQX,MQX,Africa/Addis_Ababa,13.46667,39.51667,Ethiopia
MC RAE,MQW,MQW,America/New_York,34.78333,-84.96667,United States
MOSTAGANEM,MQV,,Africa/Algiers,35.9,0.98333,Algeria
MARIQUITA,MQU,MQU,America/Bogota,5.21667,-74.88333,Colombia
MONTICELLO,MSV,MSV,America/New_York,41.61667,-74.7,United States
MASERU,MSU,MSU,Africa/Maseru,-29,27.5,Lesotho
MAASTRICHT,MST,MST,Europe/Amsterdam,50.91667,5.78333,Netherlands
MASSENA,MSS,MSS,America/New_York,44.93333,-74.85,United States
MUS,MSR,MSR,Europe/Istanbul,38.75,41.5,Turkey
MINSK,MSQ,MSQ,Europe/Minsk,53.8825,28.03083,Belarus
MINNEAPOLIS,MSP,STP,America/Chicago,44.9,-93.21667,United States
MISSOULA,MSO,MSO,America/Denver,46.91667,-114.0833,United States
MADISON,MSN,MSN,America/Chicago,43.13333,-89.33333,United States
MASI-MANIMBA,MSM,MSM,Africa/Kinshasa,-4.83333,17.85,"Congo, the Democratic Republic of the"
MUSCLE SHOALS,MSL,SHF,America/Chicago,34.75,-87.61667,United States
MISAWA,MSJ,MSJ,Asia/Tokyo,40.7,141.3833,Japan
MASALEMBO,MSI,MSI,Indian/Maldives,-5.5,114.4333,Indonesia
MASIRAH,MSH,MSH,Asia/Muscat,20.16667,58.25,Oman
MATSAILE,MSG,MSG,Africa/Maseru,-29.73333,28.75,Lesotho
