[Dep] Status,[Dep] Routing,[Dep] Airline code,[Dep] Service Type,[Dep] Flight Designator,[Dep] SOBT
"Flight scheduled","NLU-PXM","VB","J","VB 9222","22JAN 06:40",
"Flight scheduled","NLU-TQO","VB","J","VB 7240","22JAN 07:45",
"Flight scheduled","NLU-TIJ","VB","J","VB 5069","22JAN 08:00",
"Flight scheduled","NLU-CVM","ZV","J","ZV 362","22JAN 08:00",
"Flight scheduled","NLU-SLP","ZV","J","ZV 342","22JAN 08:00",
"Flight scheduled","NLU-CUU","VB","J","VB 7344","22JAN 08:00",
"Flight scheduled","NLU-VSA","VB","J","VB 7332","22JAN 08:05",
"Flight scheduled","NLU-TQO","AM","J","AM 592","22JAN 08:16",
"Flight scheduled","NLU-NLD","VB","J","VB 9450","22JAN 08:20",
"Flight scheduled","NLU-CLQ","AM","J","AM 2436","22JAN 08:24",
"Flight scheduled","NLU-TPQ","VB","J","VB 9428","22JAN 08:30",
"Flight scheduled","NLU-CUN","VB","J","VB 2273","22JAN 08:30",
"Flight scheduled","NLU-PVR","VB","J","VB 7350","22JAN 08:35",
"Flight scheduled","NLU-TQO","XN","J","XN 1780","22JAN 08:50",
"Flight scheduled","NLU-ZIH","VB","J","VB 9312","22JAN 10:00",
"Flight scheduled","NLU-MID","Y4","J","Y4 7110","22JAN 10:00",
"Flight scheduled","NLU-PUJ","DM","J","DM 7107","22JAN 10:23",
"Flight scheduled","NLU-HUX","VB","J","VB 9294","22JAN 10:35",
"Flight scheduled","NLU-SJD","XN","J","XN 1232","22JAN 10:40",
"Flight scheduled","NLU-PQM","XN","J","XN 1922","22JAN 10:40",
"Flight scheduled","NLU-CUN","Y4","J","Y4 3533","22JAN 10:44",
"Flight scheduled","NLU-CTM","XN","J","XN 1732","22JAN 10:50",
"Flight scheduled","NLU-ZIH","XN","J","XN 1952","22JAN 11:00",
"Flight scheduled","NLU-MTY","VB","J","VB 9402","22JAN 11:05",
"Flight scheduled","NLU-TGZ","VB","J","VB 7428","22JAN 11:45",
"Flight scheduled","NLU-MTY","VB","J","VB 7333","22JAN 12:20",
